clip_id,npy_path,label,split,video_uid
2,audio_clips/2.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
3,audio_clips/3.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
4,audio_clips/4.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
5,audio_clips/5.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
6,audio_clips/6.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
8,audio_clips/8.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
9,audio_clips/9.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
10,audio_clips/10.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
12,audio_clips/12.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
15,audio_clips/15.npy,0,train,004a1802-c546-4dcc-86ba-bf1080077017
24,audio_clips/24.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
25,audio_clips/25.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
27,audio_clips/27.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
32,audio_clips/32.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
33,audio_clips/33.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
34,audio_clips/34.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
36,audio_clips/36.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
37,audio_clips/37.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
38,audio_clips/38.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
40,audio_clips/40.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
41,audio_clips/41.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
42,audio_clips/42.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
44,audio_clips/44.npy,0,train,004a1802-c546-4dcc-86ba-bf1080077017
46,audio_clips/46.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
47,audio_clips/47.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
48,audio_clips/48.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
49,audio_clips/49.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
50,audio_clips/50.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
51,audio_clips/51.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
52,audio_clips/52.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
53,audio_clips/53.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
54,audio_clips/54.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
56,audio_clips/56.npy,1,train,004a1802-c546-4dcc-86ba-bf1080077017
