clip_id,npy_path,label,split,video_uid
38977,audio_clips/38977.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38978,audio_clips/38978.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38979,audio_clips/38979.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38980,audio_clips/38980.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38981,audio_clips/38981.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38982,audio_clips/38982.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38983,audio_clips/38983.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38984,audio_clips/38984.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38985,audio_clips/38985.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38986,audio_clips/38986.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38987,audio_clips/38987.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38988,audio_clips/38988.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38989,audio_clips/38989.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38990,audio_clips/38990.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38991,audio_clips/38991.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38992,audio_clips/38992.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38993,audio_clips/38993.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38994,audio_clips/38994.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38995,audio_clips/38995.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38996,audio_clips/38996.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38997,audio_clips/38997.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38998,audio_clips/38998.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
38999,audio_clips/38999.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39000,audio_clips/39000.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39001,audio_clips/39001.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39002,audio_clips/39002.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39003,audio_clips/39003.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39004,audio_clips/39004.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39005,audio_clips/39005.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39006,audio_clips/39006.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39007,audio_clips/39007.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39008,audio_clips/39008.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39009,audio_clips/39009.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39010,audio_clips/39010.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39011,audio_clips/39011.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39012,audio_clips/39012.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39013,audio_clips/39013.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39014,audio_clips/39014.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39015,audio_clips/39015.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39016,audio_clips/39016.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39017,audio_clips/39017.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39018,audio_clips/39018.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39019,audio_clips/39019.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39020,audio_clips/39020.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39021,audio_clips/39021.npy,0,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39022,audio_clips/39022.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39023,audio_clips/39023.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39024,audio_clips/39024.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39025,audio_clips/39025.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39026,audio_clips/39026.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39027,audio_clips/39027.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39028,audio_clips/39028.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39029,audio_clips/39029.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39030,audio_clips/39030.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
39031,audio_clips/39031.npy,1,train,0bd23c6f-d061-4fb6-95cb-be013d55eace
